device,lu_vege_pc,impermeable
sensor-1,5.1065182471437,94.8934817528563
sensor-2,14.170814692143,85.829185307857
sensor-3,15.9304259218732,84.0695740781268
sensor-4,58.3364138213834,41.6635861786166
sensor-6,84.4466890009992,15.5533109990008
sensor-7,83.0624550452823,16.9375449547177
sensor-8,63.8540005553008,36.1459994446992
sensor-9,59.6985445684229,40.3014554315771
sensor-10,30.5541596578481,69.4458403421519
sensor-11,10.2479708253125,89.7520291746875
sensor-12,70.3298824109375,29.6701175890625
sensor-13,51.0445859681916,48.9554140318084
sensor-15,70.3659689599652,29.6340310400348
sensor-16,80.2807629881238,1.42918961761809
sensor-17,62.6234240134118,37.3765759865882
sensor-18,9.14106719389313,90.8589328061069
sensor-20,47.4837329916638,52.5162670083362
sensor-22,34.2972874345949,65.7027125654051
sensor-23,31.6579356008646,68.3420643991354
sensor-25,18.0761127621281,81.9238872378719
sensor-26,27.4709746144632,72.5290253855368
sensor-24,13.7752113375263,86.2247886624737
sensor-21,6.79145844261385,93.2085415573862
sensor-27,2.26017457545584,97.7398254245442
sensor-32,55.9793193740842,44.0206806259158
sensor-33,25.199166258004,74.800833741996
sensor-34,32.6420434744705,67.3579565255295
