device,latitude,longitude
sensor-1,45.504989999999999,-73.574939999999998
sensor-2,45.504910000000002,-73.574560000000005
sensor-3,45.504660000000001,-73.574669999999998
sensor-4,45.504420000000003,-73.574690000000004
sensor-5,45.504269999999998,-73.575479999999999
sensor-6,45.503720000000001,-73.575729999999993
sensor-7,45.504199999999997,-73.575969999999998
sensor-8,45.504519999999999,-73.576350000000005
sensor-9,45.504359999999998,-73.577039999999997
sensor-10,45.504140000000000,-73.577389999999994
sensor-11,45.505409999999998,-73.574539999999999
Sensor-12,45.504610000000000,-73.575829999999996
Sensor-13,45.505040000000001,-73.576310000000007
sensor-15,45.504980000000003,-73.576909999999998
Sensor-16,45.504930000000002,-73.579300000000003
sensor-17,45.504770000000001,-73.576870000000000
sensor-18,45.504500000000000,-73.577910000000003
sensor-20,45.505119999999998,-73.577320000000000
sensor-22,45.506560000000000,-73.577879999999993
sensor-23,45.505899999999997,-73.577259999999995
sensor-25,45.507919999999999,-73.579589999999996
sensor-26,45.508180000000003,-73.580240000000003
sensor-24,45.507249999999999,-73.579260000000005
sensor-29,45.504309999999997,-73.577119999999994
sensor-21,45.503489999999999,-73.577799999999996
sensor-27,45.503219999999999,-73.576250000000002
Sensor-32,45.503950075161001,-73.576838509339595
Sensor-33,45.503970000000002,-73.577500000000001
Sensor-34,45.503830000000001,-73.576840000000004
